page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_y
1,电子,,生益科技,10000,45000,41%,58%,1800,7650,109%,129%,,A股唯一进入海外Al覆铜板的厂商；覆铜板涨价,0.08442
1,电子,,南亚新材,2500,10000,85%,91%,238,1000,259%,316%,V,国产算力覆铜板，M10正在给海外大厂送样,0.09845
1,电子,,深南电路,8000,30000,41%,30%,1360,5000,57%,56%,,BT载板涨价，谷歌核心供应商，AMD核心供应商,0.11386
1,电子,PCB,鹏鼎控股,8300,51000,0%,27%,750,5631,1%,47%,,HDI进入英伟达、ASIC放量在即,0.12868
1,电子,,景旺电子,4000,19000,7%,24%,280,2200,-14%,79%,,英伟达新进供应商，供货放量在即,0.14264
1,电子,,生益电子,3000,13200,37%,39%,500,2500,51%,70%,V,亚马逊核心供应商，交换机PCB开始放量,0.15736
1,电子,,广合科技,2500,10000,91%,92%,525,2500,109%,146%,,全球CPU主板核心供应商，AI PCB有望发力,0.17205
1,电子,半导体设备/零,沪电股份,7500,30000,68%,58%,1550,6500,68%,70%,,深度受益交换机及AI服务器需求强劲,0.18672
1,电子,半导体设备/零,北方华创,10880,50283,37%,28%,1700,7091,4%,39%,,半导体设备龙头公司，存储及先进制程占比高，受益于后续存储扩产催化,0.20843
1,电子,半导体设备/零,中微公司,3502,16321,26%,32%,945,3132,140%,48%,,刻蚀设备龙头公司，存储厂商扩产弹性最大标的，薄膜沉积新品出货,0.23798
1,电子,半导体设备/零,华海清科,1342,5964,29%,28%,336,1425,23%,32%,,CMP龙头公司，减薄等新业务领域布局带来新成长曲线,0.25958
1,电子,半导体设备/零,长电科技,9784,43647,6%,12%,445,2024,66%,29%,,封测龙头公司，苹果持续拉货，先进封装及汽车电子快速放量,0.27443
1,电子,半导体设备/零,汇成真空,207,876,25%,30%,44,132,30%,39%,,镀膜设备龙头公司，产品应用于光刻机镜头PVD镀膜工艺,0.28837
1,电子,半导体设备/零,中科飞测,576,3057,41%,49%,7,376,314%,542%,,量/检测设备核心供应商，订单有望随产品突破迎来放量,0.3031
1,电子,部件,精测电子,830,4317,20%,29%,45,332,553%,305%,,先进制程明场设备交付，OCD、膜厚、电子束等设备7nm已完成交付验收 且更先进制程设备在配合客户做研发,0.32481
1,电子,部件,波长光电,156,588,25%,27%,10,46,35%,30%,,光刻机光学快速增长,0.34729
1,电子,部件,新莱应材,840,3400,14%,13%,70,280,23%,30%,,半导体设备零组件gasline模组供应商，受益于国产半导体设备商订单高景 气度的核心标的之,0.36822
1,电子,部件,正帆科技,1670,6000,24%,22%,80,350,34%,154%,,CAPEX新签订单保持增长，OPEX业务逐步放量,0.39072
1,电子,部件,江丰电子,1430,5800,30,27%,240,800,150%,66%,,溅射靶材行业龙头短期受益fab稼动率提升，长期受益于零组件和半导体设 备国产化率的双重提升,0.41318
1,电子,部件,恒玄科技,800,3500,-15%,-1%,120,600,5%,1%,,可穿戴SoC龙头，25年重点布局AI眼镜领域，下一代产品25年流片,0.43411
1,电子,,全志科技,1000,4000,39%,41%,250,1000,259%,281%,,下游需求回暖，25年重点关注车载和工业新品上量,0.44966
1,电子,,瑞芯微,1400,5300,21%,20%,400,1400,24%,35%,,AloT SoC龙头，高单价产品3588放量常来业绩弹性,0.46357
1,电子,半导体芯片,炬芯科技,260,1100,1%,19%,60,290,20%,42%,,大客户哈曼、大疆持续放量，端侧AISoC产品开始放量，关注存算一体在 端侧AI的趋势,0.48614
1,电子,半导体芯片,乐鑫科技,690,3070,0%,20%,140,630,-16%,27%,,产品矩阵逐渐丰富＋新品客户增长＋叠加行业智能化程度提升,0.50853
1,电子,半导体芯片,泰凌微,250,1300,-9%,28%,40,150,-39%,18%,,蓝牙SoC龙头厂商，公司下游赛道均维持高景气度,0.5233
1,电子,半导体芯片,兆易创新,10000,35000,346%,280%,5000,20000,1367%,1114%,V,利基存储芯片受益于端侧AI爆发：DDR4涨价迅猛，3D堆叠DRAM产品进 展顺利,0.54419
