page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_top,row_bottom
1,电子,,南亚新材 深南电路,25008000,1000030000,85%41%,91%30%,2381360,10005000,259%57%,316%56%,V,国产算力覆铜板，M10正在给海外大厂送样 BT载板涨价，谷歌核心供应商，AMD核心供应商,0.0905,0.11946
1,电子,,鹏鼎控股,8300,51000,0%,27%,750,5631,1%,47%,,HDI进入英伟达、ASIC放量在即,0.11946,0.13394
1,电子,PCB,景旺电子,4000,19000,7%,24%,280,2200,-14%,79%,,英伟达新进供应商，供货放量在即,0.13394,0.14887
1,电子,PCB,生益电子,3000,13200,37%,39%,500,2500,51%,70%,V,亚马逊核心供应商，交换机PCB开始放量,0.14887,0.1629
1,电子,PCB,广合科技,2500,10000,91%,92%,525,2500,109%,146%,,全球CPU主板核心供应商，AI PCB有望发力,0.1629,0.17783
1,电子,PCB,沪电股份,7500,30000,68%,58%,1550,6500,68%,70%,,深度受益交换机及AI服务器需求强劲,0.17783,0.19231
1,电子,半导体设备/零,北方华创,10880,50283,37%,28%,1700,7091,4%,39%,,半导体设备龙头公司，存储及先进制程占比高，受益于后续存储扩产催化,0.19231,0.22172
1,电子,半导体设备/零,中微公司,3502,16321,26%,32%,945,3132,140%,48%,,刻蚀设备龙头公司，存储厂商扩产弹性最大标的，薄膜沉积新品出货,0.22172,0.25068
1,电子,半导体设备/零,华海清科,1342,5964,29%,28%,336,1425,23%,32%,,CMP龙头公司，减薄等新业务领域布局带来新成长曲线,0.25068,0.26561
1,电子,半导体设备/零,长电科技,9784,43647,6%,12%,445,2024,66%,29%,,封测龙头公司，苹果持续拉货，先进封装及汽车电子快速放量,0.26561,0.28009
1,电子,半导体设备/零,汇成真空 中科飞测,207576,8763057,25%41%,30%49%,447,132376,30%314%,39%542%,,镀膜设备龙头公司，产品应用于光刻机镜头PVD镀膜工艺 量/检测设备核心供应商，订单有望随产品突破迎来放量,0.28009,0.30905
1,电子,部件,精测电子,830,4317,20%,29%,45,332,553%,305%,,先进制程明场设备交付，OCD、膜厚、电子束等设备7nm已完成交付验收 且更先进制程设备在配合客户做研发,0.30905,0.33846
1,电子,部件,波长光电,156,588,25%,27%,10,46,35%,30%,,光刻机光学快速增长,0.33846,0.35294
1,电子,部件,新莱应材,840,3400,14%,13%,70,280,23%,30%,,半导体设备零组件gasline模组供应商，受益于国产半导体设备商订单高景 气度的核心标的之,0.35294,0.38235
1,电子,部件,正帆科技,1670,6000,24%,22%,80,350,34%,154%,,CAPEX新签订单保持增长，OPEX业务逐步放量,0.38235,0.39683
1,电子,部件,江丰电子,1430,5800,30,27%,240,800,150%,66%,,溅射靶材行业龙头短期受益fab稼动率提升，长期受益于零组件和半导体设 备国产化率的双重提升,0.39683,0.42624
1,电子,部件,恒玄科技,800,3500,-15%,-1%,120,600,5%,1%,,可穿戴SoC龙头，25年重点布局AI眼镜领域，下一代产品25年流片,0.42624,0.44072
1,电子,部件,全志科技 瑞芯微 炬芯科技,10001400260,400053001100,39%21%1%,41%20%19%,25040060,10001400290,259%24%20%,281%35%42%,,下游需求回暖，25年重点关注车载和工业新品上量 AloT SoC龙头，高单价产品3588放量常来业绩弹性 大客户哈曼、大疆持续放量，端侧AISoC产品开始放量，关注存算一体在 端侧AI的趋势,0.44072,0.4991
1,电子,半导体芯片,乐鑫科技 泰凌微,690250,30701300,0%-9%,20%28%,14040,630150,-16%-39%,27%18%,,产品矩阵逐渐丰富＋新品客户增长＋叠加行业智能化程度提升 蓝牙SoC龙头厂商，公司下游赛道均维持高景气度,0.4991,0.52851
1,电子,半导体芯片,兆易创新,10000,35000,346%,280%,5000,20000,1367%,1114%,V,利基存储芯片受益于端侧AI爆发：DDR4涨价迅猛，3D堆叠DRAM产品进 展顺利,0.52851,0.55792
1,电子,半导体芯片,澜起科技,1700,7100,20%,30%,1000,4500,58%,101%,,DDR5接口芯片受益于行业加速，CXL和Retimer芯片等新业务持续放量,0.55792,0.58688
1,电子,半导体芯片,江波龙,15000,65000,153%,186%,6000,25000,NA,1656%,,存储模组龙头，深度受益存储芯片涨价,0.58688,0.60136
1,电子,半导体芯片,北京君正,2500,10000,110%,111%,600,3000,364%,697%,,行业市场需求稳定，消费类sOc受益于行业智能化加速。,0.60136,0.61629
1,电子,半导体芯片,寒武纪,4000,20000,126%,208%,1800,13000,NA,531%,,国产GPU龙头厂商， 下游客户开始放量,0.61629,0.63077
1,电子,半导体芯片,海光信息,5500,24000,79%,67%,1500,5500,116%,116%,,国产CPU龙头厂商，CPU+GPU一站式布局,0.63077,0.64525
1,电子,半导体芯片,普冉股份,2500,10000,400%,331%,800,3000,3493%,1346%,V,Al终端需求爆发＋存储涨价周期，并购SHM切入2D NAND赛道,0.64525,0.65973
1,电子,半导体芯片,扬杰科技,2400,9500,28%,29%,450,1850,37%,47%,,海外业务回暖，整体业绩稳中向好，加大汽车、AI等新兴领域投入力度,0.65973,0.68914
1,电子,半导体芯片,捷捷微电 新洁能,1200650,45002500,30%35%,30%33%,200160,750650,48%26%,57%64%,,944 在手订单饱满，新兴领域持续放量,0.68914,0.7181
1,电子,半导体芯片,天岳先进,430,1800,11%,23%,15,100,650%,扭亏,,SiC 8寸衬底在海外眼镜客户放量，CoWoS有望在封装使用SiC材料,0.7181,0.74751
1,电子,半导体芯片,英诺赛科 安集科技,600796,23003365,55%34%,70%34%,-50258,-200949,50%25%,50%21%,,硅基氮化镓全球行业龙头，8英寸产能全球领先 抛光液龙头，业绩稳健增长,0.74751,0.77692
1,电子,半导体材料,鼎龙股份 雅克科技 兴福电子,8892803430,4015100942099,-2%29%24%,10%17%42%,29944268,12611388371,53%46%33%,59%35%81%,VV,抛光垫龙头，半导体材料平台公司，业绩快速增长 通过跨境并购转型为半导体材料平台型企业，前驱体业务营收全球前三， 同时是国内LNG保温绝热材料打破国外垄断的独家供应商 国内湿电子化学品龙头，电子级磷酸连续三年国内市场占有率第一（69.69 %），深度绑定长江存储、中芯国际等头部晶圆厂，受益国产替代与扩产 红利,0.77692,0.86471
1,电子,半导体材料,飞凯材料,944,3938,24%,22%,133,594,33%,46%,,从光纤涂覆材料起家，布局半导体制造与封装材料（光刻胶、环氧塑封料 、临时键合方案）、液晶显示材料，构建多元化材料矩阵，并在第三代半 导体封装材料领域实现量产出货,0.86471,0.90814
1,电子,半导体材料,立昂微,1200,4636,42%,32%,-17,113,减亏,扭亏,,重掺硅片技术优势突出，12英寸重掺外延片终端应用于AI服务器电源、新 能源汽车等场景，受益于AI算力对功率器件硅片需求的拉动；同时是国内 少数具备6英寸砷化镓射频芯片量产能力的厂商,0.90814,0.95249
1,电子,半导体材料,沪硅股份 西安奕材,1190881,53283445,33%36%,43%30%,-545-126,-2146-601,亏损扩大减亏,亏损扩大减亏,,国内半导体硅片龙头，12英寸大硅片国产化核心供应商，受益于晶圆厂扩 产与国产替代长期趋势 国内12英寸硅片领域的重要新兴力量，聚焦大硅片国产化,0.95249,0.99593
2,电子,EDA,概伦电子,151,559,19%,16%,15,25,-67%,-28%,,专注器件建模和电路仿真EDA工具，在存储器设计领域具备差异化竞争优,0.04423,0.08308
2,电子,消费电子,广立微,239,954,33%,30%,36,121,21%,38%,,聚焦芯片良率提升领域的EDA软件与测试设备，在晶圆厂良率管理环节具 有独特卡位,0.08308,0.12194
2,电子,消费电子,立讯精密,72500,404230,16%,22%,4350,22232,21%,34%,,算力电连接产品导入海外大客户+AI端侧升级+苹果销量有望超预期,0.12194,0.16079
2,电子,消费电子,领益智造 三环集团,127003350,5734313866,5%45%,11%54%,3701072,32004437,2%52%,40%69%,,苹果业务稳健增长，积极布局AI液冷 SOFC伴随海外大客户放量+顺周期需求回暖+MLCC国产替代加速,0.16079,0.19904
2,电子,消费电子,顺络电子,2150,8832,22%,31%,270,1237,7%,21%,,Al电感放量+车载业务放量＋新兴领域布局,0.19904,0.21817
2,电子,消费电子,江海股份 蓝特光学,1850567 0,77342184,20%76%,41%42%,240170,1005701,16%194%,49%80%,,光储业务底部向上+超容/牛角电容在AI服务器应用 微棱镜、模造玻璃、半导体光学业务快速增长,0.21817,0.25643
2,电子,消费电子,英伟达 （GAAP利润 ）,91239,429888,95%,99%,51500,227600,100%,90%,V,全球最大GPU公司,0.25643,0.31441
2,电子,海外科技（百,台积电,40000,125180,33%,37%,19800,83300,54%,53%,V,全球最大晶圆代工厂,0.31441,0.33413
2,电子,海外科技（百 万美元）,博通 天弘科技 （调整后利润 ）,299314450,10826919273,88%67%,70%56%,15900260,517221179,89%56%,53%68%,,全球最大交换机芯片公司 AI服务器及交换机代工,0.33413,0.41124
2,电子,万美元）,AMD （调整后利润 ）,11200,55306,46%,60%,2650,13391,239%,96%,,全球知名CPU/GPU公司,0.41124,0.46922
2,电子,万美元）,Credo （调整后利润 ）,470,2451,110%,84%,230,960,134%,48%,,全球AEC龙头,0.46922,0.5272
2,通信,国产芯片,寒武纪 中际旭创,（亿元，人民币）20264500289 12,2026156 86937 56,（%）2026 2026154%133%,141%145%,（亿元，人民币）202618 0085 00,202651 22298 07,增速（%）2026164%252%,2026149%176%,超巿场预期V,一句话推荐逻辑 国产大模型与芯片加速迭代，公司作为芯片龙头持续受益 800G高景气延续、1.6T率先放量，硅光与高端产品结构升级驱动利润弹性 释放,0.60669,0.70831
2,通信,光模块,新易盛,114 11,490 98,79%,98%,38 00,185 34,60%,94%,,下游AI大客户需求持续旺盛，800G主力产品放量叠加1.6T交付改善推动业 绩增长,0.70831,0.83622
2,通信,光模块,天孚通信,16 22,87 42,7%,69%,600,33 30,7%,65%,,光引擎及高速光器件需求稳步释放，CPO/1.6T产业趋势继续支撑中长期成 长,0.83622,0.87507
2,通信,光模块,源杰科技,495,16 59,311%,176%,250,7 72,674%,305%,,数据中心CW光源加速放量，公司作为光芯片核心标的迎来业绩高弹性释,0.87507,0.91393
2,通信,光模块,太辰光,9 33,28 77,104%,86%,180,6 28,92%,110%,,高密度光连接器需求恢复增长，受益北美AI数据中心与CPO/010光互联升 级趋势,0.91393,0.95278
2,通信,光模块,亨通光电,403 23,838 83,115%,25%,25 00,69 58,137%,160%,,光通信与能源互联业务共振增长，海缆、光纤光缆及海外需求释放推动业 绩提速,0.95278,0.99163
3,计算机,国产算力,海光信息,5 515,,80%,55%,1 217,,75%,77%,,,0.14612,0.16699
3,计算机,国产算力,中科曙光 海康威视,3 851,,18%,18%9%,678,,25%,34%13%,,,0.16699,0.20874
3,计算机,Al,科大讯飞,7 191,,15%,19%,-32,,30%,40%,,,0.20874,0.23027
3,计算机,智能汽车,大华股份,,,,8%,,,,3%,,,0.23027,0.25114
3,计算机,智能汽车,拓尔思 德赛西威,127,,6%,8%19%,-43,,15%,16%24%,,,0.25114,0.29289
3,计算机,智能汽车,经纬恒润,,,,30%,,,,221%,,,0.29289,0.31376
3,计算机,智能汽车,中科创达,,,,23%,,,,22%,,,0.31376,0.33529
3,计算机,信创,达梦数据,,,30%,30%,,,30%,30%,,,0.33529,0.35551
3,计算机,信创,中国软件,,,10%,12%,,,50%,60%,,,0.35551,0.37704
3,计算机,信创,太极股份,,,10%,12%,,,80%,120%,,,0.37704,0.39791
3,计算机,医疗IT,神州数码 卫宁健康,,,6%10%,8%12%,,,30%60%,35%80%,,,0.39791,0.43966
3,计算机,医疗IT,创业慧康,,,8%,10%,,,60%,70%,,,0.43966,0.46053
3,计算机,医疗IT,润达医疗,,,8%,10%,,,55%,65%,,,0.46053,0.48206
3,计算机,云计算,金山办公 广联达,,,20%6%,25%7%,啵mB晚起形晚亚这经死206刚,,20%40%,25%50%,,,0.48206,0.52381
3,计算机,云计算,用友网络,,,8%,10%,,,30%,40%,,,0.52381,0.54468
3,计算机,云计算,石基信息 浪潮信息,,,25%20%,30%35%,,,80%120%,120%30%,,,0.54468,0.58643
3,计算机,算力租赁,万兴科技 协创数据,,,15%68%,16%68%,,,80%280%,120%108%,,,0.58643,0.62883
3,计算机,算力租赁,利通电子,,,,,,,1426%,,,,0.62883,0.68395
3,传媒互联网,互联网媒体,腾讯控股,2026203856,（百万元，人民市）2026829091,（%）2Q26 202611%,10%,（百万元，人民市）2Q2666835,2026260145,增速（%）20266%,20260 2%,超市场预期,一句话推荐逻辑 主业收入稳健增长，但短期AI Capex加大影响利润，微信AI aqent开启灰测期待后续正式推出,0.74038,0.82322
3,传媒互联网,互联网媒体,哔哩哔哩,7922,33054,8%,9%,687,3092,22%,19%,V,流量端持续高增；广告收入1Q yoy+30%，显著跑赢大盘，预计全年高增速维持；26H2新游上线周期关 注表现；Al赋能用户社区生态+广告业务,0.82322,0.8865
3,传媒互联网,互联网电商 旅游综合,阿里巴巴 携程,26918215925,112177569097,9%7%,10%11%,249234370,10703717457,-17%-2%,66%-45%,,悲观情绪已较充分体现，静待多重基本面拐点 宏观影响+运营调整，Q2业绩或承压,0.8865,0.92825
3,传媒互联网,广告营销 光学光电子,分众传媒 禾赛,3418867,135344363,5%23%,6%44%,162293,6075591,6%27%,106%7%,V,主业稳健，业绩具备韧性 主业盈利持续兑现，物理AI打开成长曲线,0.92825,0.97065
4,非银,广告营销 光学光电子,众安在线,（百万元，人民币）2Q26n.a,2026n.a,（%）2Q26n.a,2026n.a,（百万元，人民币）2Q26n.a,20261466,增速（%）2Q26n.a,202633%,超市场预期,一句话推荐逻辑 预计2026年全年利润仍将延续高弹性增长,0.09321,0.16762
4,非银,保险,中国太平,n.a,n.a,n.a,n.a,n.a,20277,n.a,-25%,V,估值低，上半年利润低基数,0.16762,0.1946
4,非银,保险,新华保险,59 429,154 830,62%,-2%,16172,41460,81%,14%,V,Q2负债端高增长，强贝塔+较强的投资能力,0.1946,0.22077
